,bid_rtpd_neg_weighted,bid_rtpd_pos_weighted,bid_ifm_neg_weighted,bid_ifm_pos_weighted
2023-07-01 00:00:00,-32.94844934171387,166.02749941444193,-38.19939971493109,180.17239328186673
2023-07-01 01:00:00,-30.556063415780812,158.96960197418912,-38.19939971493109,180.51207135331703
2023-07-01 02:00:00,-30.612850688242098,146.77068450448112,-38.22651672715142,180.6140462685616
2023-07-01 03:00:00,-30.999066722750932,146.4501337747625,-38.26715852612387,180.69542403127124
2023-07-01 04:00:00,-32.59024511993274,147.0425540730919,-38.20320101780042,180.69542403127124
2023-07-01 05:00:00,-32.82207052870171,146.06048588241134,-38.20522709792108,182.28872790618627
2023-07-01 06:00:00,-31.88152657262296,150.00674657414223,-35.13754496789662,189.1968913568078
2023-07-01 07:00:00,-2.856179927599177,169.3474671580005,-32.094531335753906,183.97490346667576
2023-07-01 08:00:00,21.356520604020066,144.1627458861358,10.33617693927312,185.4806973091733
2023-07-01 09:00:00,27.52894429492713,149.23242807716005,8.584533042381967,191.4783334505189
2023-07-01 10:00:00,30.377407263797338,151.34850662293667,12.186210417042014,195.15716854775303
2023-07-01 11:00:00,29.31580991084916,151.56982757607457,8.6043660046635,197.50374706462193
2023-07-01 12:00:00,13.346984662330362,145.49370849353372,4.445846535569967,198.44902927607137
2023-07-01 13:00:00,13.667612697013118,149.8585736426827,1.8256184521045498,197.93806591853112
2023-07-01 14:00:00,3.069422173746716,157.19322083665412,-5.682644046845191,199.00158288820148
2023-07-01 15:00:00,-22.430893096968482,149.06194217435126,-28.33584084685406,195.0567672526672
2023-07-01 16:00:00,-29.037584729215652,138.78716517194275,-30.204436964372583,196.9197196532284
2023-07-01 17:00:00,-32.864320380234204,132.6174874276934,-32.3456105590507,186.43916977115484
2023-07-01 18:00:00,-35.35304334692644,110.32294100433376,-35.53911278656715,150.32301881650605
2023-07-01 19:00:00,-36.279956038127494,44.809344896486266,-37.73133941449775,114.13092070250133
2023-07-01 20:00:00,-31.45326822800464,50.007596247244464,-39.042656320362745,117.01009028146575
2023-07-01 21:00:00,-33.03741609878567,73.48990707621704,-39.59685779109955,115.08120538749151
2023-07-01 22:00:00,-33.08783854575933,112.63695215062407,-39.147767481792215,151.6768292682927
2023-07-01 23:00:00,-34.632503089902734,124.47654753175483,-39.11599245180932,179.7320062882393
2023-07-02 00:00:00,-32.22757082931185,140.16676598219047,-38.322555133215,174.4331419422514
