Date,price,zone
11/25/2023 3:00:00 PM,40.26112,SDGE
11/25/2023 3:00:00 PM,39.40110,VEA
11/25/2023 4:00:00 PM,59.19280,PGAE
11/25/2023 4:00:00 PM,57.12861,SCE
11/25/2023 4:00:00 PM,58.51154,SDGE
11/25/2023 4:00:00 PM,157.89370,VEA
11/25/2023 5:00:00 PM,61.00944,PGAE
11/25/2023 5:00:00 PM,58.44215,SCE
11/25/2023 5:00:00 PM,60.03246,SDGE
11/25/2023 5:00:00 PM,57.99273,VEA
11/25/2023 6:00:00 PM,60.74026,PGAE
11/25/2023 6:00:00 PM,58.28587,SCE
11/25/2023 6:00:00 PM,59.89612,SDGE
11/25/2023 6:00:00 PM,57.67349,VEA
11/25/2023 7:00:00 PM,60.70972,PGAE
11/25/2023 7:00:00 PM,58.18326,SCE
11/25/2023 7:00:00 PM,58.96726,SDGE
11/25/2023 7:00:00 PM,57.27454,VEA
11/25/2023 8:00:00 PM,61.19114,PGAE
11/25/2023 8:00:00 PM,58.11946,SCE
11/25/2023 8:00:00 PM,58.70313,SDGE
11/25/2023 8:00:00 PM,57.36903,VEA
11/25/2023 9:00:00 PM,59.62665,PGAE
11/25/2023 9:00:00 PM,57.85148,SCE
11/25/2023 9:00:00 PM,58.41497,SDGE
11/25/2023 9:00:00 PM,56.74798,VEA
11/25/2023 10:00:00 PM,59.62858,PGAE
11/25/2023 10:00:00 PM,57.73921,SCE
11/25/2023 10:00:00 PM,58.24342,SDGE
11/25/2023 10:00:00 PM,56.95943,VEA
11/25/2023 11:00:00 PM,59.42447,PGAE
11/25/2023 11:00:00 PM,57.72145,SCE
11/25/2023 11:00:00 PM,58.06668,SDGE
11/25/2023 11:00:00 PM,57.06023,VEA
11/26/2023 12:00:00 AM,63.86368,PGAE
11/26/2023 12:00:00 AM,61.74556,SCE
11/26/2023 12:00:00 AM,62.30546,SDGE
11/26/2023 12:00:00 AM,61.61753,VEA
11/26/2023 1:00:00 AM,63.84918,PGAE
11/26/2023 1:00:00 AM,61.52500,SCE
11/26/2023 1:00:00 AM,62.01087,SDGE
11/26/2023 1:00:00 AM,61.36296,VEA
11/26/2023 2:00:00 AM,62.93004,PGAE
11/26/2023 2:00:00 AM,61.07173,SCE
11/26/2023 2:00:00 AM,61.56876,SDGE
11/26/2023 2:00:00 AM,60.94876,VEA
11/26/2023 3:00:00 AM,59.19934,PGAE
11/26/2023 3:00:00 AM,57.69433,SCE
11/26/2023 3:00:00 AM,58.11615,SDGE
11/26/2023 3:00:00 AM,57.54659,VEA
11/26/2023 4:00:00 AM,61.17816,PGAE
11/26/2023 4:00:00 AM,59.41237,SCE
11/26/2023 4:00:00 AM,59.87745,SDGE
11/26/2023 4:00:00 AM,59.41092,VEA
11/26/2023 5:00:00 AM,63.13325,PGAE
11/26/2023 5:00:00 AM,60.97646,SCE
11/26/2023 5:00:00 AM,61.34768,SDGE
11/26/2023 5:00:00 AM,61.03739,VEA
11/26/2023 6:00:00 AM,63.20680,PGAE
11/26/2023 6:00:00 AM,60.94915,SCE
11/26/2023 6:00:00 AM,61.68250,SDGE
11/26/2023 6:00:00 AM,61.47388,VEA
11/26/2023 7:00:00 AM,54.82093,PGAE
11/26/2023 7:00:00 AM,50.88235,SCE
11/26/2023 7:00:00 AM,50.77214,SDGE
11/26/2023 7:00:00 AM,50.08951,VEA
11/26/2023 8:00:00 AM,56.52969,PGAE
11/26/2023 8:00:00 AM,31.52665,SCE
11/26/2023 8:00:00 AM,32.57532,SDGE
11/26/2023 8:00:00 AM,32.09452,VEA
11/26/2023 9:00:00 AM,42.85288,PGAE
11/26/2023 9:00:00 AM,28.17827,SCE
11/26/2023 9:00:00 AM,28.68857,SDGE
11/26/2023 9:00:00 AM,27.82096,VEA
11/26/2023 10:00:00 AM,43.28232,PGAE
11/26/2023 10:00:00 AM,23.37528,SCE
11/26/2023 10:00:00 AM,24.22384,SDGE
11/26/2023 10:00:00 AM,23.67535,VEA
11/26/2023 11:00:00 AM,40.80561,PGAE
11/26/2023 11:00:00 AM,24.86540,SCE
11/26/2023 11:00:00 AM,25.50723,SDGE
11/26/2023 11:00:00 AM,24.78444,VEA
11/26/2023 12:00:00 PM,38.57473,PGAE
11/26/2023 12:00:00 PM,25.98939,SCE
11/26/2023 12:00:00 PM,26.52876,SDGE
11/26/2023 12:00:00 PM,25.69121,VEA
11/26/2023 1:00:00 PM,40.33074,PGAE
11/26/2023 1:00:00 PM,28.36722,SCE
11/26/2023 1:00:00 PM,28.93462,SDGE
11/26/2023 1:00:00 PM,27.82459,VEA
11/26/2023 2:00:00 PM,41.37405,PGAE
11/26/2023 2:00:00 PM,38.19250,SCE
11/26/2023 2:00:00 PM,38.43788,SDGE
11/26/2023 2:00:00 PM,36.44121,VEA
11/26/2023 3:00:00 PM,52.38819,PGAE
11/26/2023 3:00:00 PM,49.59372,SCE
11/26/2023 3:00:00 PM,50.14013,SDGE
11/26/2023 3:00:00 PM,191.61217,VEA
11/26/2023 4:00:00 PM,66.49306,PGAE
11/26/2023 4:00:00 PM,65.18264,SCE
11/26/2023 4:00:00 PM,66.32333,SDGE
11/26/2023 4:00:00 PM,65.13700,VEA
11/26/2023 5:00:00 PM,67.03336,PGAE
11/26/2023 5:00:00 PM,65.61815,SCE
11/26/2023 5:00:00 PM,67.03237,SDGE
11/26/2023 5:00:00 PM,64.95032,VEA
11/26/2023 6:00:00 PM,67.22184,PGAE
11/26/2023 6:00:00 PM,64.99762,SCE
11/26/2023 6:00:00 PM,67.07938,SDGE
11/26/2023 6:00:00 PM,64.60261,VEA
11/26/2023 7:00:00 PM,66.98647,PGAE
11/26/2023 7:00:00 PM,65.34772,SCE
11/26/2023 7:00:00 PM,66.94560,SDGE
11/26/2023 7:00:00 PM,65.05712,VEA
11/26/2023 8:00:00 PM,66.46872,PGAE
11/26/2023 8:00:00 PM,65.20334,SCE
11/26/2023 8:00:00 PM,66.50520,SDGE
11/26/2023 8:00:00 PM,64.95017,VEA
11/26/2023 9:00:00 PM,66.59965,PGAE
11/26/2023 9:00:00 PM,64.17474,SCE
11/26/2023 9:00:00 PM,65.26500,SDGE
11/26/2023 9:00:00 PM,63.91837,VEA
11/26/2023 10:00:00 PM,65.32929,PGAE
