,bid_rtpd_neg_weighted,bid_rtpd_pos_weighted
2023-07-01 00:00:00,-34.35521255189629,165.0266751449883
2023-07-01 00:15:00,-34.35521255189629,165.0266751449883
2023-07-01 00:30:00,-31.49733322823888,168.71237403936183
2023-07-01 00:45:00,-31.49733322823888,165.3880739404358
2023-07-01 01:00:00,-29.99776680153434,158.96960197418912
2023-07-01 01:15:00,-32.192264257481646,158.96960197418912
2023-07-01 01:30:00,-29.99776680153434,158.96960197418912
2023-07-01 01:45:00,-29.99776680153434,158.96960197418912
2023-07-01 02:00:00,-30.612850688242098,146.77068450448112
2023-07-01 02:15:00,-30.612850688242098,146.77068450448112
2023-07-01 02:30:00,-30.612850688242098,146.77068450448112
2023-07-01 02:45:00,-30.612850688242098,146.77068450448112
2023-07-01 03:00:00,-30.999066722750932,146.4501337747625
2023-07-01 03:15:00,-30.999066722750932,146.4501337747625
2023-07-01 03:30:00,-30.999066722750932,146.4501337747625
2023-07-01 03:45:00,-30.999066722750932,146.4501337747625
2023-07-01 04:00:00,-32.59024511993274,146.73825772782016
2023-07-01 04:15:00,-32.59024511993274,147.1443467545086
2023-07-01 04:30:00,-32.59024511993274,147.1443467545086
2023-07-01 04:45:00,-32.59024511993274,147.1443467545086
2023-07-01 05:00:00,-32.82207052870171,146.06048588241134
2023-07-01 05:15:00,-32.82207052870171,146.06048588241134
2023-07-01 05:30:00,-32.82207052870171,146.06048588241134
2023-07-01 05:45:00,-32.82207052870171,146.06048588241134
2023-07-01 06:00:00,-31.971005509259015,142.9145439071384
2023-07-01 06:15:00,-31.971005509259015,142.9145439071384
2023-07-01 06:30:00,-31.792295666346973,156.9351551403596
2023-07-01 06:45:00,-31.792295666346973,156.9351551403596
2023-07-01 07:00:00,-2.7777289638447744,169.42224402383286
2023-07-01 07:15:00,-2.7777289638447744,169.42224402383286
2023-07-01 07:30:00,-3.0915328188623743,169.12313656050344
2023-07-01 07:45:00,-2.7777289638447744,169.42224402383286
2023-07-01 08:00:00,21.356520604020066,144.1627458861358
2023-07-01 08:15:00,21.356520604020066,144.1627458861358
2023-07-01 08:30:00,21.356520604020066,144.1627458861358
2023-07-01 08:45:00,21.356520604020066,144.1627458861358
2023-07-01 09:00:00,27.53083678079236,149.2060502688745
2023-07-01 09:15:00,27.53083678079236,149.24122484772357
2023-07-01 09:30:00,27.53083678079236,149.24122484772357
2023-07-01 09:45:00,27.523258178490632,149.24122484772357
2023-07-01 10:00:00,30.48023511174267,150.856461949772
2023-07-01 10:15:00,30.477099236641223,151.03908219509765
2023-07-01 10:30:00,30.477099236641223,151.03908219509765
2023-07-01 10:45:00,30.075816234352814,152.45752677222416
2023-07-01 11:00:00,29.382554512266882,151.32541991179505
2023-07-01 11:15:00,29.382554512266882,151.32541991179505
2023-07-01 11:30:00,29.382554512266882,151.32541991179505
2023-07-01 11:45:00,29.09725103881856,152.30912058280902
2023-07-01 12:00:00,13.022301409352979,145.72443015780246
